index,title,certificate,genre,runtime,rating
1,Tenet,UA,"Action, Sci-Fi, Thriller",150 min,7.3
2,365 dni,A,"Drama, Romance",114 min,3.3
3,The Father,UA,"Drama, Mystery",97 min,8.2
4,Promising Young Woman,A,"Crime, Drama, Mystery",113 min,7.5
5,The Hunt,R,"Action, Horror, Thriller",90 min,6.5
6,Hamilton,12+,"Biography, Drama, History",160 min,8.3
7,After We Collided,18,"Drama, Romance",105 min,5
8,A Quiet Place Part II,A,"Drama, Horror, Sci-Fi",97 min,7.2
9,Sonic the Hedgehog,U,"Action, Adventure, Comedy",99 min,6.5
10,Boss Level,None,"Action, Adventure, Comedy",100 min,6.8
11,Extraction,18,"Action, Thriller",116 min,6.7
12,The Devil All the Time,18,"Crime, Drama, Thriller",138 min,7.1
13,Freaky,R,"Comedy, Horror, Thriller",102 min,6.3
14,Druk,16,"Comedy, Drama",117 min,7.7
15,The Old Guard,18,"Action, Thriller",125 min,6.6
16,Let Him Go,R,"Crime, Drama, Thriller",113 min,6.7
17,Wonder Woman 1984,UA,"Action, Adventure, Fantasy",151 min,5.4
18,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,A,"Action, Comedy, Crime",109 min,6
19,2 Hearts,PG-13,"Drama, Romance",101 min,6.3
20,Enola Holmes,13,"Action, Adventure, Crime",123 min,6.6
21,I'm Thinking of Ending Things,16,"Drama, Thriller",134 min,6.6
22,Mulan,12+,"Action, Adventure, Drama",115 min,5.7
23,Monster Hunter,UA,"Action, Adventure, Fantasy",103 min,5.2
24,De slag om de Schelde,18,"Drama, War",124 min,7.1
25,Soul,U,"Animation, Adventure, Comedy",100 min,8
26,Greyhound,A,"Action, Drama, History",91 min,7
27,Minari,UA,Drama,115 min,7.4
28,The Invisible Man,A,"Drama, Horror, Mystery",124 min,7.1
29,Eurovision Song Contest: The Story of Fire Saga,PG-13,"Comedy, Music",123 min,6.5
30,Pieces of a Woman,18,Drama,126 min,7
