index,title,certificate,genre,runtime,rating
1,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
2,Nobody,A,"Action, Crime, Drama",92 min,7.4
3,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
4,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
5,CODA,A,"Comedy, Drama, Music",111 min,8
6,F9,UA,"Action, Crime, Thriller",143 min,5.2
7,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
8,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
9,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
10,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
11,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
12,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
13,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
14,The Fallout,A,Drama,96 min,7
15,The Black Phone,A,"Horror, Thriller",103 min,6.9
16,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
17,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
18,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
19,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
20,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
21,Encanto,U,"Animation, Comedy, Family",102 min,7.2
22,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
23,Old,UA,"Drama, Horror, Mystery",108 min,5.8
24,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
25,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
26,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
27,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
28,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
29,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
30,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
31,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
32,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
33,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
34,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
35,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
36,Pleasure,R,Drama,109 min,6.4
37,The Last Duel,A,"Action, Drama, History",152 min,7.4
38,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
39,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
40,The Power of the Dog,16,"Drama, Western",126 min,6.8
41,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
42,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
43,Pig,R,"Drama, Mystery",92 min,6.9
44,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
45,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
46,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
47,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
48,Silent Hours,None,"Crime, Thriller",156 min,5.2
49,Boiling Point,R,"Drama, Thriller",92 min,7.5
50,The Road Dance,None,Drama,116 min,7
51,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
52,Nobody,A,"Action, Crime, Drama",92 min,7.4
53,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
54,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
55,CODA,A,"Comedy, Drama, Music",111 min,8
56,F9,UA,"Action, Crime, Thriller",143 min,5.2
57,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
58,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
59,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
60,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
61,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
62,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
63,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
64,The Fallout,A,Drama,96 min,7
65,The Black Phone,A,"Horror, Thriller",103 min,6.9
66,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
67,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
68,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
69,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
70,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
71,Encanto,U,"Animation, Comedy, Family",102 min,7.2
72,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
73,Old,UA,"Drama, Horror, Mystery",108 min,5.8
74,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
75,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
76,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
77,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
78,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
79,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
80,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
81,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
82,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
83,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
84,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
85,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
86,Pleasure,R,Drama,109 min,6.4
87,The Last Duel,A,"Action, Drama, History",152 min,7.4
88,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
89,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
90,The Power of the Dog,16,"Drama, Western",126 min,6.8
91,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
92,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
93,Pig,R,"Drama, Mystery",92 min,6.9
94,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
95,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
96,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
97,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
98,Silent Hours,None,"Crime, Thriller",156 min,5.2
99,Boiling Point,R,"Drama, Thriller",92 min,7.5
100,The Road Dance,None,Drama,116 min,7
101,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
102,Nobody,A,"Action, Crime, Drama",92 min,7.4
103,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
104,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
105,CODA,A,"Comedy, Drama, Music",111 min,8
106,F9,UA,"Action, Crime, Thriller",143 min,5.2
107,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
108,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
109,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
110,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
111,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
112,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
113,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
114,The Fallout,A,Drama,96 min,7
115,The Black Phone,A,"Horror, Thriller",103 min,6.9
116,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
117,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
118,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
119,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
120,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
121,Encanto,U,"Animation, Comedy, Family",102 min,7.2
122,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
123,Old,UA,"Drama, Horror, Mystery",108 min,5.8
124,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
125,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
126,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
127,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
128,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
129,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
130,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
131,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
132,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
133,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
134,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
135,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
136,Pleasure,R,Drama,109 min,6.4
137,The Last Duel,A,"Action, Drama, History",152 min,7.4
138,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
139,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
140,The Power of the Dog,16,"Drama, Western",126 min,6.8
141,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
142,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
143,Pig,R,"Drama, Mystery",92 min,6.9
144,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
145,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
146,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
147,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
148,Silent Hours,None,"Crime, Thriller",156 min,5.2
149,Boiling Point,R,"Drama, Thriller",92 min,7.5
150,The Road Dance,None,Drama,116 min,7
151,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
152,Nobody,A,"Action, Crime, Drama",92 min,7.4
153,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
154,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
155,CODA,A,"Comedy, Drama, Music",111 min,8
156,F9,UA,"Action, Crime, Thriller",143 min,5.2
157,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
158,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
159,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
160,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
161,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
162,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
163,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
164,The Fallout,A,Drama,96 min,7
165,The Black Phone,A,"Horror, Thriller",103 min,6.9
166,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
167,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
168,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
169,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
170,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
171,Encanto,U,"Animation, Comedy, Family",102 min,7.2
172,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
173,Old,UA,"Drama, Horror, Mystery",108 min,5.8
174,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
175,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
176,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
177,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
178,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
179,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
180,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
181,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
182,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
183,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
184,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
185,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
186,Pleasure,R,Drama,109 min,6.4
187,The Last Duel,A,"Action, Drama, History",152 min,7.4
188,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
189,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
190,The Power of the Dog,16,"Drama, Western",126 min,6.8
